α₁ f₁ α₂ variance ν μ A ϕ T₀
7.088918774794157329e-01 2.783873535341853389e-03 2.959030730144633470e+00 7.278848337171804628e-02 1.067531897195075796e+00 1.370809167388133298e+00 3.261237056394645784e-01 6.043987779947523009e+00 6.466665632069339154e+02
1.061194708666486797e+00 4.045953154118607335e-03 2.740092156840886695e+00 2.680403884270769407e-02 1.004421986137411071e+00 1.201221054262429533e+00 4.508360345924255358e-02 2.330453962119003020e+00 5.128059821359277066e+02
7.892306117836069834e-01 4.038700606086393849e-03 2.711765157284592220e+00 2.744662363258838778e-02 9.160673786968718257e-01 1.171735457488738641e+00 3.764321009869390777e-01 2.863625731283222731e+00 7.238696800211160962e+02
1.220412600293378835e+00 2.753648100292247283e-02 3.697630140797060427e+00 9.970606637527856808e-03 1.288430216196482458e+00 1.238382193288011246e+00 1.186496861078229076e-01 3.039168879329384509e+00 5.915855547227032503e+02
1.308862317833335176e+00 2.356989995411695737e-02 3.449077564082804415e+00 9.362128259347447107e-03 1.022164089194383507e+00 1.584044977044796187e+00 2.126203925006441564e-01 3.573363880039706508e+00 6.784658276202516163e+02
1.382538614739574623e+00 1.292519672377025371e-02 3.258837464034536779e+00 2.219850276320685378e-02 1.329134914443892646e+00 1.597586229978054773e+00 3.639154019645611804e-01 3.165421579874451385e+00 5.373726122780381047e+02
7.483635040840815877e-01 5.439599412034678769e-03 2.713411169424623015e+00 1.652458286657574119e-02 1.296140676770327405e+00 1.281178863845664706e+00 3.319932505657960387e-01 2.448105014409867941e+00 7.262539752113143550e+02
8.169195808173566054e-01 8.861252775180131908e-03 3.331294510479598792e+00 3.109155470732352308e-02 1.080303979498793199e+00 1.520510669815439142e+00 2.233699886272390578e-01 3.148891354377464591e+00 5.474350206187220920e+02
1.394584926631881272e+00 2.250500228727061493e-03 2.638123472231128197e+00 3.371114435025197170e-02 1.117785501891253253e+00 1.456584442016054304e+00 2.946350235293250241e-01 3.790986616301486478e+00 6.159878536894622130e+02
1.384995425766239574e+00 1.777961464773933353e-02 3.285127783190371797e+00 2.058575250136071566e-02 1.190333554547251982e+00 1.004389119723108070e+00 3.205159572163712167e-01 2.305792739972604366e+00 4.677395447828369015e+02
1.182629603898771142e+00 2.178636874730333767e-02 3.725130856428140014e+00 1.807708722173585053e-02 1.168578777991178264e+00 1.121100383034121739e+00 3.413561183554190970e-02 2.687370628711869713e+00 3.012756068380252259e+02
1.426566131897473166e+00 1.250178455056745290e-02 2.907196766252130082e+00 1.945725675606723923e-02 1.222298934477015431e+00 7.648508939312258503e-01 1.192245341601170516e-01 3.005759361573010935e+00 3.710996223930832798e+02
1.345467299357289814e+00 1.141487268870442287e-02 3.264398782882132366e+00 3.172064045619074624e-02 1.250886989236055902e+00 1.157214975944181212e+00 2.858258536628773272e-01 3.333192697518415404e+00 7.276235274131777260e+02
7.232529448111605364e-01 2.285857747470140117e-03 2.888393658890443749e+00 6.672164043657836940e-02 1.253364505153202968e+00 1.695912922471187523e+00 2.608683825105283516e-01 6.156972307307009284e-01 7.190670101830306749e+02
4.509450184019846430e-01 3.478337984807272371e-03 2.800947731048538003e+00 3.619782334598421053e-02 1.047870013361375197e+00 8.816727668444638288e-01 1.476089443558888936e-01 9.781077840756301489e-01 5.175509372688380836e+02
1.457495591788143585e+00 9.303522056386737127e-03 3.129284403212962751e+00 2.691125830195771618e-02 1.238980614487334986e+00 2.102923151102311650e+00 7.687515687484407223e-02 4.909859245335734812e-01 4.283277249630190227e+02
5.181269733309541436e-01 5.058122212718951793e-03 2.780925102874069132e+00 1.603042016389420385e-02 1.105485163807352844e+00 1.241018568824079349e+00 3.959666190284936160e-01 3.187791304603011078e+00 6.168288833871522456e+02
1.391473958195830862e+00 2.006347811622507388e-02 3.216432859495442553e+00 1.499476322668361929e-02 1.159327736445520562e+00 6.922301393425499549e-01 1.897838098297847942e-01 1.840793300575821023e+00 4.506559966594206799e+02
1.485452525498756504e+00 2.238217368804020987e-02 3.079100473877118382e+00 1.640182585091935763e-02 1.040076100150212790e+00 2.256619538025468330e+00 2.992053219342905579e-01 3.607126893024028114e+00 5.887192936922446052e+02
5.357832310838201995e-01 2.826723549722119123e-03 2.612544684439943588e+00 2.265600649336874453e-02 1.021192687045995529e+00 1.271911276250385026e+00 2.623847732391653698e-01 3.639220956614939606e+00 1.675661875122688969e+02
1.283650479826855983e+00 2.027054411168991137e-03 2.468695856828809987e+00 2.317617192865407613e-02 9.611664559252370843e-01 8.228331732996136960e-01 5.304525695412263264e-01 3.403961681309887854e+00 5.379270333526189916e+02
1.370725196464174012e+00 2.472613881553573784e-02 3.479321909627496101e+00 1.586029572823132588e-02 1.269547045716253209e+00 5.301592514161214131e-01 1.022844351516361827e-01 1.094555932136326293e+00 1.481202151699019396e+02
1.335719305960879844e+00 2.504757764101746536e-03 2.592255974652772021e+00 2.732231482379793644e-02 1.098659401831090454e+00 1.037717092612601366e+00 6.599066226958033576e-01 4.408691028146680679e+00 6.158386595109512882e+02
1.124098667830235376e+00 1.348481470421484391e-02 3.028343935093603889e+00 1.306080895026340283e-02 1.086185429805861302e+00 6.019330267439013671e-01 2.374334485981020038e-01 4.502729066520891443e+00 6.329254107561664568e+02
4.648770153403949390e-01 1.074776281648088735e-02 3.550402023643195903e+00 2.302953211218077348e-02 1.144906863553162069e+00 1.327671425300108066e+00 2.513942830364857550e-01 3.491005569339759695e+00 6.901762359485665002e+02
1.407198600357940643e+00 6.339006775634713903e-03 2.585526106183953843e+00 1.954519947118538506e-02 9.329699300314777677e-01 9.586288220249290504e-01 2.302385465302214107e-01 1.954602790229860831e+00 2.624269209250061294e+02
1.433279651666951704e+00 2.797987595538406827e-02 3.705074966031459027e+00 1.357760698683445864e-02 1.096709685543344248e+00 7.254898313754352124e-01 2.464063892739835060e-01 2.272014821813672203e+00 5.353267400287868441e+02
1.181940576361436346e+00 9.410831881299963272e-03 3.101184715391157809e+00 2.183057049899389881e-02 1.194949580495756392e+00 7.224358045066437972e-01 1.779560609439676810e-01 2.084827834714268580e+00 2.596038756588515071e+02
3.884766911841970316e-01 3.603436922186232551e-03 2.777532459250201313e+00 2.800677430412508093e-02 1.265126674255270922e+00 1.468277037183861600e+00 5.014578946664836057e-01 3.247882582182706646e+00 5.094396908024302775e+02
1.190483373983835191e+00 1.657734139468351048e-02 3.215104389028958565e+00 1.400703201354706363e-02 1.222202042341637762e+00 8.411740177221961323e-01 9.778323979108514974e-02 2.928395967315960746e+00 5.599161309101618826e+02
1.250592257344739444e+00 8.746610395117279321e-03 3.050820379362884971e+00 2.687195615164023402e-02 1.100084019006124514e+00 1.207486417414140867e+00 9.531157765906256296e-02 3.532465968788613964e+00 4.282658857459052797e+02
