weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -1.232874972230442609e+03 3.732600368086813614e-02 9.225625727255137853e-02 2.153862468844097711e-01 1.564862137378549845e-01 8.239178430301691280e-01 1.061713380151528829e-01 4.391000100067482537e-01 5.726332886924918597e-01 3.220956581107617955e-01
0.000000000000000000e+00 -1.188564321552358251e+03 1.188272402333095945e-01 6.437502280499410867e-01 9.314011581431616005e-01 7.804502619278619324e-01 3.010599739583806889e-01 9.375498132392360295e-01 7.073751929769378499e-02 4.558197193099633449e-01 3.780817522890511651e-02
0.000000000000000000e+00 -1.161707827183889094e+03 3.538738375213410503e-01 8.050807212607461461e-01 4.445810315118160494e-01 4.394796480817002582e-01 5.701401439468383181e-01 8.177858157816775275e-01 4.214752412681413984e-01 8.080139520318418977e-02 1.143240552726343395e-02
0.000000000000000000e+00 -1.130777959115522663e+03 7.511930835199198686e-02 9.862498804693593524e-01 3.335320676389625927e-01 6.710550944933403317e-01 4.647870258431713308e-01 8.352188818852320784e-01 4.575778798666211289e-01 3.886972411945716077e-01 8.283811036102731729e-01
0.000000000000000000e+00 -1.109525919565255435e+03 3.169702990477802906e-01 9.515085490794783496e-01 6.240652941972287815e-01 6.037435367608486869e-01 6.567079801496191749e-01 4.181966022663630156e-01 7.443386540291155873e-01 2.720675530433939171e-01 2.553750681656282717e-01
0.000000000000000000e+00 -1.069121247576963697e+03 2.112257573793756560e-01 6.411947430412263671e-01 1.984087605158215695e-01 6.859256924301891933e-01 5.876241870681196966e-01 8.647941750359154911e-01 4.812883539497379015e-01 2.664994534705863449e-01 9.475391747258856689e-01
0.000000000000000000e+00 -1.048658897746332286e+03 9.934352191213480232e-02 8.843372170365811913e-01 4.213550835765935698e-01 1.589135240689710793e-01 7.328817635970863442e-01 5.560322214804642726e-01 1.914700873339686416e-01 7.976707460757350709e-01 2.128941902600272051e-01
0.000000000000000000e+00 -1.041580961626418230e+03 6.492759122269065042e-02 7.350093644396127335e-02 8.780705497243146418e-02 6.750459768515743031e-01 4.705391666701974618e-01 6.420174524018364970e-01 8.433732642935241053e-01 4.081990801478956321e-01 6.924499158607796412e-01
0.000000000000000000e+00 -1.008988195941579306e+03 5.374687697596506331e-01 6.517730269642862950e-03 9.934048320845090263e-01 8.501680750698625832e-02 7.625787530159354732e-01 8.314652537710097713e-01 2.463806595732749294e-01 2.110646449286285309e-01 2.208866222405546642e-01
0.000000000000000000e+00 -9.950007999465095736e+02 1.800848171569150447e-01 8.123221976290251334e-01 4.887935564917946785e-01 5.623306778299939079e-01 9.691178872512992148e-01 1.823271385842955006e-01 2.787081620574153318e-01 9.707123144513452040e-01 2.841646335411374125e-01
