weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -2.001489804466098576e+03 8.770858181658303110e-02 3.234360822146952440e-03 2.001139601743679997e+00 1.775032061981838410e-02 3.143889247238102480e-01 4.747462849857095435e+00 5.344185586849783398e+00 1.161339523838534005e+00 5.121981829227551088e+02
0.000000000000000000e+00 -1.986997617181595160e+03 6.069245433998685657e-01 7.669661892052149739e-04 1.718824504218447569e+00 4.622473371839912366e-03 4.548259884247722873e-01 2.573729386775633898e+00 4.203609133362053996e+00 2.452110161024535717e+00 4.721149333547469951e+02
0.000000000000000000e+00 -1.954712335125130949e+03 2.147413798461406120e-02 2.212095515810347524e-01 1.252449646306232456e+00 4.846361314256696917e-01 3.376069336046575442e-01 -2.300456686073620638e+00 1.221793171292706148e+00 2.740206876633140887e+00 3.803578785903354174e+02
0.000000000000000000e+00 -1.856923304093745855e+03 7.973677672820067563e-02 8.198766691392508910e-02 1.481034923828696614e+00 2.517617532482231413e-01 5.633685472414232676e-01 1.980408311861528992e+00 5.293257889228390134e+00 2.429280706708994320e+00 4.349405028422988835e+02
0.000000000000000000e+00 -1.835958406180880957e+03 1.243832918213467531e+00 4.817392900731037875e-01 3.065633952836074094e+00 3.819756973716842419e-02 2.187686867657142376e+00 9.855228827189336238e-01 3.411288662401083638e+00 5.714995640751889816e+00 1.037452775418598065e+02
0.000000000000000000e+00 -1.795980864144347834e+03 1.850742246297765736e-01 6.117038510644465720e-04 2.811323922817881571e-01 5.679880171239919118e-02 7.219104083571397101e-01 1.434213419659567501e+00 3.464105492309867085e+00 2.839792425410145871e-01 5.631921527763145150e+02
0.000000000000000000e+00 -1.726294212888214133e+03 2.728750908168314782e-02 3.367742268018766166e-02 2.546732033595804801e+00 1.085918759201999831e-02 1.493941967566819295e+00 6.181288208317573529e-01 1.569109433477658744e+00 1.222968743513229484e+00 7.070159178139349478e+02
0.000000000000000000e+00 -1.676371863305474562e+03 7.509298538478919038e-01 5.069367806347399412e-04 9.347319061750749558e-01 1.947018592238405552e-02 2.391263992231622559e+00 -5.210893097190212320e-01 1.553746114919871024e+00 4.890847496249282500e+00 7.240792761656942389e+01
0.000000000000000000e+00 -1.664423484094496189e+03 3.700096847106787989e-01 3.120601851975992116e-02 5.765856232133327319e-01 1.014604347623631192e-01 2.274143386977158343e+00 6.422387903218493843e-01 4.105966655565265633e+00 3.908091480761120895e+00 6.945273203165479572e+02
0.000000000000000000e+00 -1.491224432824003088e+03 6.224913227537072213e-01 4.935627193360700004e-04 3.154569142320255537e+00 4.421226258835222328e-02 2.581058424923681760e-01 2.725060679453648493e+00 3.965295559134074832e+00 5.367845913702073979e+00 2.181213179479111375e+02
