α₁ f₁ α₂ variance ν μ c
5.264697567870555428e-01 3.912923531584457451e-03 2.846716131758322277e+00 2.321490885049912190e-02 9.996272259164282747e-01 -2.456645411779306842e-02 7.964670960553123886e-05
5.828244674402065506e-01 3.741653750492768792e-03 2.508495182114437227e+00 1.180837239928146480e-02 9.749967264126430111e-01 2.076433492770386469e-01 1.349193722385575236e-03
2.269208078764461400e-01 1.892121781567772821e-03 2.903087112083145627e+00 4.663499124086348258e-02 1.104913117253090382e+00 1.875119700541372225e-01 6.194020817335954944e-04
8.351639094304852406e-01 1.192077636740348535e-03 2.560215647833715913e+00 2.276139436696222526e-02 1.246898101485762078e+00 4.650424689666022293e-01 2.056971780510913413e-06
3.259961555076428263e-01 1.809761919821925667e-03 2.426758688619597315e+00 1.227677535122212449e-02 9.199207115603444951e-01 3.235443836575399024e-01 3.006502138858351190e-05
1.505482534979048215e-01 4.136192256334302324e-04 2.349004876316536095e+00 1.789766625888414633e-02 1.117307868459681330e+00 6.690581544213440868e-01 4.283612480027305350e-04
5.401358480425095809e-01 4.712087276118629917e-03 2.934741260594345036e+00 1.867884670699862873e-02 1.035171295203734187e+00 3.854669674893558273e-01 4.058348543299919410e-04
1.228783545159566115e+00 9.410194573774356350e-03 3.034912415295441424e+00 1.568072827987150239e-02 1.134867759536061893e+00 4.002027436245737535e-01 1.069368124725423225e-04
9.668342551395735507e-01 1.105469836224778728e-02 3.249761034406349225e+00 1.478465021558201045e-02 1.070817948740948378e+00 1.243771232231843105e-01 6.667096398234741801e-04
4.833249251924368606e-01 2.270643112543010642e-03 2.748342257678777933e+00 2.405005418848631810e-02 1.064035637208289309e+00 1.999829950480818130e-01 3.808400093341016790e-06
6.034404127541562746e-01 2.016756239679052837e-03 2.732703143839598781e+00 3.107396739009559566e-02 1.115158191573953683e+00 -1.372161871968008429e-02 1.075104059927915967e-05
9.507538452438260013e-01 4.866044248728619223e-03 2.862406267747965138e+00 2.546901235474364686e-02 9.870663090658362560e-01 2.410628488250795565e-01 3.454054909673879241e-05
2.139838173755022332e-01 3.376437525984300313e-03 3.106466489991870805e+00 2.861754324994463666e-02 1.156642181522785862e+00 4.627702722507676114e-03 1.752285592474216452e-06
6.494061563481716703e-01 3.586853550760749597e-04 2.518881052194101411e+00 2.368287092829818308e-02 1.018122309503935563e+00 -1.140741202784582020e-01 3.766319751868884820e-04
9.946249908802511364e-01 5.302251686611074866e-04 2.650865492583029059e+00 3.882963456586030482e-02 1.134402301176566041e+00 6.670292940351932875e-01 4.855111296567589559e-04
1.040127043882601354e+00 7.174700935596810963e-03 3.098869025808875577e+00 2.172274282633347015e-02 1.084942079749797950e+00 -3.367221838095170172e-01 8.009496374097387517e-06
5.700530308617899333e-01 2.402403566691573011e-03 2.620545023233361803e+00 2.575228125041378879e-02 9.843863087003208445e-01 2.774481120417685576e-01 8.076597296127241532e-06
7.493553042794047769e-01 2.537268431588670693e-03 2.869759284078970740e+00 4.959979896954137824e-02 1.082198875603699317e+00 3.730272436048871487e-01 9.133486324042096514e-06
6.819163585819215667e-01 3.509407544040052136e-03 2.600553237222055891e+00 1.447142830638351724e-02 1.083345031728898400e+00 2.088466204016890537e-01 1.012787243801244992e-05
8.163821159462014698e-02 1.675297396834802286e-03 2.594302574062809619e+00 2.693494104952813550e-02 1.084729884244005849e+00 5.280229247142126381e-02 1.908178195573965021e-05
8.429499052049710395e-01 2.302889604141743814e-03 2.655379446860034687e+00 2.283587585151699087e-02 1.481609303682361656e+00 -3.827783362678756074e-01 4.416738387285440123e-05
1.246168814651051671e+00 4.310508509018756186e-03 2.867238434948032655e+00 2.233717763030373948e-02 1.075847372832487991e+00 9.851230573664101486e-01 6.835578042373212718e-05
1.164896359835918771e+00 8.793399720802093714e-03 3.068723164567478623e+00 1.113237128932538338e-02 1.098285290693203242e+00 1.127933804105179794e-01 1.369352612972658096e-04
4.455121657565633275e-01 5.926388600167679759e-03 2.930675137439707534e+00 1.095137645174307922e-02 1.122621366222062100e+00 1.689892861872553109e-01 1.512527755839344253e-05
1.200841700411426460e+00 2.076866811186137834e-02 3.528856588102175174e+00 1.054751609633492078e-02 1.296507053077410543e+00 -4.147967163469085117e-02 3.429485223221582189e-04
9.341023610983509862e-01 2.143150991005799907e-03 2.838279357393274083e+00 2.646390747521544864e-02 1.263310636705452739e+00 3.213866935411607284e-01 1.052984436322418164e-03
7.199804662936768462e-01 7.258672069431027635e-03 3.123438257414699493e+00 1.640560990548097994e-02 1.224788094546934047e+00 3.885428494360794183e-01 3.210966752797555189e-03
2.420783122626588568e-01 7.594404588851915707e-04 2.398057031470881562e+00 1.770789196968356599e-02 1.043462735868811553e+00 1.748455612541165993e-01 5.479512959837281672e-04
1.230681729970898086e+00 5.166488469347772783e-04 2.634448781251089500e+00 3.514144196701722567e-02 1.173768650019178850e+00 1.423317648870201513e+00 4.556537561708132782e-06
5.279282354275252054e-01 6.167773128900868804e-04 2.462030692176885971e+00 2.001327763316991179e-02 9.911602897909751464e-01 3.849566171714944307e-01 6.074001168687246742e-06
1.177272559647622563e+00 4.081505720609290150e-03 2.711731662149957423e+00 1.761875337595962543e-02 1.101397651452023840e+00 2.850790875234220367e-01 1.371914482983377641e-04
1.096695734223454566e-01 1.231626388918428700e-03 2.489694976024589668e+00 1.806642424173028616e-02 1.051799992081673185e+00 -1.366997177772893979e-02 3.267220585333170941e-06
1.026167250274034215e+00 2.860494360298568208e-03 2.561208061153155136e+00 1.195908227555239275e-02 1.224222847275821202e+00 4.352118812750904731e-01 4.895961991353026482e-06
8.037364280245571369e-01 3.379740602100788933e-03 2.781414901606245493e+00 2.097264748319417962e-02 1.132118119599118566e+00 5.368892837167584808e-01 9.581848570160334975e-05
4.990655164335332517e-01 1.442400439753769355e-03 2.583620183571317952e+00 2.316370964433524249e-02 9.989094202205369699e-01 4.157452542595657663e-01 1.547334414370480794e-05
