α₁ f₁ α₂ variance ν μ c
1.084443003235831871e+00 1.959391763466339711e-02 3.884951162246327527e+00 6.513632081250433914e-02 1.033125203776812384e+00 2.490358270056359791e-01 5.900225138351180600e-04
1.009441885815933304e+00 6.640893608483400094e-03 3.015840601221949857e+00 1.210963277260950904e-01 1.084810439374669366e+00 2.869210096969270207e-01 2.370245487889744885e-05
1.077368392420216869e+00 1.017424146782321126e-02 3.056443447066421015e+00 9.576143938743081341e-02 9.452936944463049551e-01 3.890253621753438917e-01 1.572826361250660504e-03
5.255992591551608140e-01 7.467001765495469116e-03 3.347997135733814744e+00 5.328040359045140006e-02 1.107731263982459691e+00 1.763773199495657640e-01 3.880916150966243726e-04
1.965303996720090818e-01 9.094119185710514142e-04 2.595527364186089425e+00 3.823932821828762152e-01 1.150150875398478600e+00 -2.073920458403439859e-01 1.441269240204132423e-03
2.389708311316717793e-01 3.107381018835171909e-03 2.901009550176838037e+00 1.072679229421711761e-01 8.955455646544722148e-01 2.382864488189224694e-01 7.615433598842449598e-04
8.674740212571858677e-01 7.062606965368047572e-03 2.865085892410111690e+00 6.592892126363189553e-02 1.052440221563487155e+00 2.245752175054106514e-01 9.400304157059687364e-05
1.052995873554572581e+00 1.039446445895425217e-02 3.260663903277254860e+00 6.884870028657807950e-02 1.559997698143633427e+00 3.905664975684429718e-01 6.118139977482311542e-04
1.197190619711727688e+00 1.596614086123838636e-02 3.357572260791341634e+00 7.440643558000094304e-02 1.090641778046163468e+00 1.854951807928461871e-01 4.371393931324526073e-04
4.510032858956958268e-01 4.797956735314667584e-03 3.074661134089852865e+00 8.448627999228047747e-02 1.158971958397630120e+00 4.999414018613582145e-02 4.601057510309355181e-06
8.786474850638327228e-01 1.709498201562774334e-03 2.775768516108872763e+00 5.203010514011612297e-01 1.119188955499497817e+00 4.422579897415982453e-01 1.515228711002957818e-04
1.000340240655096968e+00 1.074067843629387779e-02 2.999046030589564094e+00 5.759878075468571890e-02 9.426903546281127921e-01 3.476884101801627214e-01 5.365268980338515521e-05
1.218127549182516756e+00 1.241650602172864049e-02 3.526580263816235572e+00 1.918362009954009684e-01 1.060061500859244887e+00 6.432193829953866682e-02 1.698294273776330694e-04
6.764678348985393441e-01 4.112852285167365590e-03 2.507927432521420474e+00 6.843728505332352663e-02 1.014153676813984939e+00 2.597231436491305168e-01 8.543818983907173326e-06
1.009173470609952217e+00 9.452545459704560574e-03 2.811309645111641053e+00 6.770254323671276442e-02 8.507264071619099477e-01 5.284331840738917818e-02 1.028223178362862658e-03
9.704546389070276557e-01 1.200543699114962198e-02 3.170680367196855975e+00 6.096892301270746828e-02 7.999590362977350155e-01 3.150186248885038509e-01 2.940903048882627941e-06
4.701313273519511782e-01 3.813324132354594612e-03 2.670440961953010284e+00 7.194527405039037593e-02 1.006756231345781405e+00 1.869645571522481342e-01 2.496716507533862434e-06
9.409968886021795598e-01 5.845574381037288610e-03 2.995058207799955241e+00 1.502858339570962987e-01 1.041510772171333254e+00 -1.759427423442950222e-01 1.898732043999539561e-04
8.099636723902963187e-01 1.029178091533556293e-02 3.644062823816891061e+00 7.853710022479591657e-02 1.004910589345954230e+00 1.865809984793298515e-02 1.944093080067614034e-03
9.694924473610395665e-01 7.759791622476190642e-03 3.058750644157007592e+00 9.313952613506702727e-02 9.921558996780203143e-01 -7.808754584910515550e-02 1.018793332489571941e-03
7.600523292681198306e-01 6.504493688178947935e-03 2.931891614514355648e+00 7.081136626311677895e-02 9.730839704263650747e-01 1.351609172224311484e-01 1.045665513589460766e-03
7.863476617188068785e-01 9.018067007136684743e-03 3.099790468748983674e+00 4.348313618034396755e-02 1.124485679611444411e+00 2.016715828049285009e-01 5.191255019833428912e-06
1.196964612049148835e+00 4.439231795943610580e-03 2.689691857242160644e+00 2.015901197272326195e-01 1.110177750799350216e+00 4.427830054081148270e-01 6.443916509307206041e-06
6.594584265539695789e-01 6.979007742216257817e-03 3.223840264288085677e+00 7.217877396156362202e-02 8.980899924452336869e-01 2.051743422168954556e-01 6.671651023885527955e-06
4.675869469329752559e-01 4.744404269517710909e-03 2.950366761140684524e+00 6.217018928020964785e-02 1.080306158093667923e+00 2.672986757332083130e-01 1.207261750667346787e-06
1.161754938567583384e+00 1.103879707653306584e-02 3.054675682891650812e+00 1.439830109746124409e-01 8.988445091816025245e-01 -3.048098086932143902e-02 9.776957475062638675e-06
1.125199296602822363e+00 1.600861269316993310e-02 3.798133604306753064e+00 8.231585410892773569e-02 1.099196648704814594e+00 2.396434490993447630e-01 4.609414532342305700e-03
8.287435641913083462e-01 5.303206659809197275e-03 2.789822007676247217e+00 6.599652504936985575e-02 1.158250393423423397e+00 2.233781806487381005e-01 2.453605403479742868e-04
1.074203296533906338e+00 2.050767600799341048e-02 3.779254880591435217e+00 6.043547621419474020e-02 1.136885720984020853e+00 5.100462897587595967e-02 4.125016520525944951e-04
6.285257867137470367e-01 4.123307120548517883e-03 2.773937837278110052e+00 6.526205163823015076e-02 1.231246831758585181e+00 3.433992011519338972e-01 1.586699271285215804e-05
9.527611992054002554e-01 1.209382523607154848e-02 3.168505243332964127e+00 6.741133371203593405e-02 1.028187307442893328e+00 1.868258714530953157e-01 1.977219898499735747e-06
4.009994975111286220e-02 2.808842934458323417e-03 2.784469256372523294e+00 7.986066017306821252e-02 1.099449163792158402e+00 3.137403506495211603e-01 7.162611070175427686e-05
1.044598356523187332e+00 1.466940893468129080e-02 3.877888582594755107e+00 7.437293889808802017e-02 1.356166997434004262e+00 4.671600507579085071e-01 1.455919221270349601e-05
1.155140940108339453e+00 5.595637038522558067e-03 2.973780686757229397e+00 2.535615843738420749e-01 9.988300873686458692e-01 2.260008486649522363e-01 5.212490241039641279e-05
1.186385598748037173e+00 1.331877493107749486e-02 3.331050581746172412e+00 9.606773646410769751e-02 1.012462049196080738e+00 5.322623474311272140e-01 1.901151211527934936e-06
