# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.40021394  0.03214472 -2.74496085]
# Fvar:0.25369798523923454
# FoM:12.916329395924251
# seed: 278900
# seed_gaps: 225596
# Time	Value	Error
5.725000000000000000e+02 1.194116797504874095e+00 2.637506091926360499e-02
5.740000000000000000e+02 9.292856980817789658e-01 1.926117506480377536e-02
5.755000000000000000e+02 8.525981741981104589e-01 1.865845696296209583e-02
5.770000000000000000e+02 9.608027662481773978e-01 1.326816058332368382e-02
5.777500000000000000e+02 9.732362072527054320e-01 1.375156080052015138e-02
5.785000000000000000e+02 1.043103147092977245e+00 2.664792698701398677e-02
5.787500000000000000e+02 9.729415308849550525e-01 3.029582989028294093e-02
5.797500000000000000e+02 1.061513049045029966e+00 1.851800711630871912e-02
5.807500000000000000e+02 1.237300925062548407e+00 2.242874961110742638e-02
5.815000000000000000e+02 1.243911195902065447e+00 2.105519735834399109e-02
5.817500000000000000e+02 1.249441150813771939e+00 2.495088810974921759e-02
5.830000000000000000e+02 1.319497787369672270e+00 1.745243415317573876e-02
5.832500000000000000e+02 1.369352416644908033e+00 2.846535621989778470e-02
5.835000000000000000e+02 1.358862389103559165e+00 2.882494347935292064e-02
5.845000000000000000e+02 1.283005847436362590e+00 1.527155360318800843e-02
5.867500000000000000e+02 1.239752199988350290e+00 2.374909261309393615e-02
5.870000000000000000e+02 1.242934083802938794e+00 3.868489099036620527e-02
5.872500000000000000e+02 1.286164662733309205e+00 1.782295288541294390e-02
5.877500000000000000e+02 1.320918462481318389e+00 1.618130189494841262e-02
5.892500000000000000e+02 1.350651910047031112e+00 3.084181392646625011e-02
5.897500000000000000e+02 1.342961534526522449e+00 2.406261531238076262e-02
5.902500000000000000e+02 1.359076146927110651e+00 1.321847534096255716e-02
5.905000000000000000e+02 1.391813081155679033e+00 1.522624939082398848e-02
5.907500000000000000e+02 1.327364673219807445e+00 2.036745087748914260e-02
5.912500000000000000e+02 1.165251506741666221e+00 1.794282447942154371e-02
5.930000000000000000e+02 9.968600763144955801e-01 1.395775146027409923e-02
5.940000000000000000e+02 8.850829295348245918e-01 1.000018970070586447e-02
5.955000000000000000e+02 7.862269025526530397e-01 1.700414640792707183e-02
5.957500000000000000e+02 7.373519565973134515e-01 9.853885747157800634e-03
5.967500000000000000e+02 7.641018860863900697e-01 3.114102212414085469e-02
5.977500000000000000e+02 7.959887756320206398e-01 3.232415130021554922e-02
5.982500000000000000e+02 8.212896518674265289e-01 2.234452337997654484e-02
5.992500000000000000e+02 8.182028900218126788e-01 2.704268434391208370e-02
6.037500000000000000e+02 1.478588810128661057e+00 1.993237245557647960e-02
6.052500000000000000e+02 1.565618275372231194e+00 1.428344599278465708e-02
6.055000000000000000e+02 1.727267866845051847e+00 3.507794833980763111e-02
6.070000000000000000e+02 1.560894477356624677e+00 2.068912470766333736e-02
6.072500000000000000e+02 1.630477180637319279e+00 1.533094940090706272e-02
6.085000000000000000e+02 1.414342554484861569e+00 3.616356222853212704e-02
6.087500000000000000e+02 1.478217349609434184e+00 3.801898874379984472e-02
6.092500000000000000e+02 1.474534764629879202e+00 1.628054971584046856e-02
6.095000000000000000e+02 1.447278116526481639e+00 1.502072949810698450e-02
6.097500000000000000e+02 1.375872028933136537e+00 1.372851106066088657e-02
6.107500000000000000e+02 1.227817212708856687e+00 2.385988115684671562e-02
6.112500000000000000e+02 1.036585950100488596e+00 2.527337500912317514e-02
6.125000000000000000e+02 7.833965084871381546e-01 1.694910423354643522e-02
6.127500000000000000e+02 7.886014131028251661e-01 2.564729114859241182e-02
6.130000000000000000e+02 7.457913621944323168e-01 1.063661929008361678e-02
6.135000000000000000e+02 6.574805188236172437e-01 1.126605014193282281e-02
6.182500000000000000e+02 7.592770991335321407e-01 1.187212304756098472e-02
6.187500000000000000e+02 7.936898922481264718e-01 9.684835115775376410e-03
6.192500000000000000e+02 8.217413825950476980e-01 1.501235598921892012e-02
6.202500000000000000e+02 8.940479079243578431e-01 1.544419348554771677e-02
6.222500000000000000e+02 1.036986011444487987e+00 1.870604208783444716e-02
6.242500000000000000e+02 9.678249592251919609e-01 3.585904188208176302e-02
6.245000000000000000e+02 1.050762829161813849e+00 1.378767207850038409e-02
