α₁ f₁ α₂ f₂ α₃ variance ν μ
1.908237386559116788e-01 5.063864752866815934e-04 1.876551987832391077e+00 4.908859332992633606e-02 3.721472010384343054e+00 1.325027944070857402e-02 1.092058886076196167e+00 1.975677813679238559e-02
6.749666970820654699e-01 2.133050669442791616e-03 2.634600429877663519e+00 5.368789935060509499e-01 3.308821751100003539e+00 2.318151340617103165e-02 1.296057154108096299e+00 2.440770289679279892e-01
1.096127898465806494e+00 8.244119599158392445e-03 2.784673388080266321e+00 9.318011944343462805e-02 3.889306969229644473e+00 1.850634135281551892e-02 1.166072708202092523e+00 -2.670334962682556768e-01
5.830280237571368041e-01 1.773422015110727966e-03 2.420742945432913906e+00 8.617361230603718392e-01 3.461832784235484795e+00 1.551236323051674408e-02 1.073901251362684217e+00 -3.426795485633117311e-01
1.013573021666718699e+00 8.712097402978799879e-03 2.878133946342069205e+00 2.631619561705412780e-01 3.052099467571409264e+00 1.202043958642372290e-02 1.205938505401956018e+00 2.720622039834876271e-01
2.077458341405522546e-01 1.880352231321216370e-03 2.702441579533912286e+00 1.025099175619260672e+00 3.150566037330353897e+00 2.458383256938027200e-02 1.297974402947213557e+00 1.628586714413817471e-01
3.491090048394749346e-01 5.432014561164504821e-04 4.381624656855594990e-01 1.202761772894988569e-03 2.665323862367089180e+00 2.541959876254096945e-02 1.222309780709956106e+00 5.030195791145329887e-01
3.536113786734171871e-01 7.384424507615369986e-04 2.152288169028094167e+00 2.872157913115170463e-02 2.533274977407256934e+00 1.480031031258569746e-02 1.023411298241132528e+00 5.030638986036256588e-01
9.317695091649997874e-01 2.542740356248345424e-03 2.459936917163871861e+00 5.608856330274410856e-02 3.218113689897284857e+00 1.874173919687109960e-02 1.132099209043992749e+00 9.655790369176395216e-02
3.496521169853721300e-01 1.371008162678229777e-03 1.804495256488932275e+00 3.370896816767276170e-03 2.813876233766214430e+00 1.842819792147979904e-02 1.056470918827571825e+00 8.886824426732051196e-02
8.748279676910618585e-01 3.608864881732199662e-03 2.647535735084711739e+00 1.781139063435110137e-01 3.268880930225930292e+00 2.600887826649241757e-02 1.123921013359926668e+00 -1.696266397036977347e-02
1.161222763462739449e+00 1.060221754914889188e-02 3.010398426878343692e+00 3.322602414556852235e-01 3.082894221465171114e+00 1.359841712085459176e-02 1.073680245250458132e+00 4.835151484436496783e-01
8.430575237335311556e-01 1.378761600123932368e-03 2.504474482315777628e+00 6.827111155152868704e+00 2.825324194322575089e+00 1.834978227083417304e-02 1.095189059341306281e+00 6.430290033472640943e-01
9.547434401896173206e-01 8.812889098666377985e-04 1.747922385103122256e+00 3.840605093251783786e-02 3.684833821455117508e+00 9.555708769269047331e-03 1.297561442432463741e+00 3.901269181520398699e-01
1.231412425748150463e+00 6.321326837929228983e-03 2.859447440940753538e+00 4.595405053023688069e+00 3.656848194809609431e+00 1.351045164233793082e-02 1.247760513405170135e+00 4.560475601764708564e-01
8.399343712959770336e-01 2.243700466610203982e-03 1.918593615847355549e+00 2.178541157654204780e-02 3.891001594182581513e+00 2.285286693654785956e-02 1.164555261412496989e+00 -1.135526411158044313e-02
1.158342372458427638e+00 1.095541743739740503e-02 2.823865952445782312e+00 1.526100613521966576e+00 3.496741927526259008e+00 9.687310287185099678e-03 1.183464816879510328e+00 2.244127760056817134e-01
