weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -3.765340613308548541e+02 2.030508986896144286e-01 1.551429611581165213e+00 2.133812412821103344e+00 4.222363826084680305e+00 3.741670438158518408e+00 2.495108837697698756e-01 2.770473927121313462e+00 -2.177521903991611607e-01
0.000000000000000000e+00 -3.648854438049348801e+02 6.444680079990482424e-01 2.485128158445075730e+00 2.395139012082773800e+00 9.583864820023606512e+00 2.590403719722805587e+00 5.172229589490082852e-02 4.450039126527981503e-01 2.582777992875951334e+00
0.000000000000000000e+00 -3.598732704394290067e+02 2.181987734656050393e-01 1.622788164543962630e-01 8.801460278992894182e-01 8.721635335958651813e-01 1.288864617393226331e+00 1.800148268313055411e-01 2.567520908478544417e-01 5.621930585004072389e-01
0.000000000000000000e+00 -3.558531353033522464e+02 6.062466527711205533e-01 1.955252387880682896e+00 1.308398504584879163e+00 3.017198408062961690e+00 3.031934624222685226e+00 3.309106631938817794e-02 6.031675986401003886e-01 2.014693719160058460e+00
0.000000000000000000e+00 -3.442608731776487616e+02 1.026976407464466279e+00 1.093007151583876707e-01 1.887238908905853219e+00 1.242030345741580721e-01 3.408688479563580565e+00 5.296963846983618218e+00 1.282563430877268873e+00 2.907627422117224025e+00
0.000000000000000000e+00 -3.302777487239121683e+02 2.262850961245684023e-01 9.889378983756542951e-02 1.264813710685643411e+00 3.546881105585535932e-01 1.837900884858046258e+00 2.080753846901945425e-01 8.890603630522121714e-02 -1.360505635957405701e+00
0.000000000000000000e+00 -3.290689571382342251e+02 6.411158333106370399e-01 1.191945667308283330e+00 1.727558872861516770e+00 1.482795794177865778e+00 2.899347351458555710e+00 3.604321475625589799e-01 2.764581942014486149e+00 1.306909996599219026e+00
0.000000000000000000e+00 -3.252773784472805687e+02 5.865150094232753908e-01 5.781604336359126295e-01 7.482516882613545750e-01 3.503964583866951088e+00 2.345890887877391862e+00 5.051303501167785093e-02 4.812412365700480255e-01 -1.687949614302159063e+00
0.000000000000000000e+00 -3.234495596256285239e+02 3.377537159172963599e-01 1.240209428812716688e-02 3.861151947945491436e-01 5.356252660365988127e+00 1.271937419791342005e+00 5.601956200150307735e-02 2.921344279149277745e-01 -3.033307691195358258e-01
0.000000000000000000e+00 -3.186939699091764169e+02 5.551443252150631835e-01 3.318787163114405470e+00 9.881116162526942803e-01 7.292714006711983110e+00 3.734649265273286556e+00 9.801428512566016590e-03 1.018768548355465375e+00 1.074064860195933946e+00
0.000000000000000000e+00 -3.158580213411175919e+02 6.492542523300434687e-02 3.224762295739309170e+00 7.577069693391443872e-01 4.864373732567223385e+00 1.836207641633811782e+00 9.367432847942230509e-03 1.427191862147277224e+00 4.709092095092171082e-01
0.000000000000000000e+00 -3.141911667797984933e+02 4.563773364013579137e-01 1.178008244506204338e+00 2.276017633688384390e+00 1.673311344550472146e+00 2.616344010014345134e+00 1.637642171675877945e-01 1.621650158729184499e+00 -1.288256278232882579e+00
0.000000000000000000e+00 -3.137452394224665113e+02 1.264005050463640201e-01 2.363501968193642069e-03 7.009635999987705590e-01 6.713782231143974322e+00 3.981877656374330776e+00 8.145481472966602243e-02 1.651773886418809623e+00 1.215462540217213228e+00
0.000000000000000000e+00 -3.068669692182212998e+02 2.489261191380079397e-01 5.432435841494689388e-01 2.363446617850517573e+00 1.441344539362401367e+00 3.437070866796776869e+00 3.223432285163524424e-01 1.832858028291453278e+00 4.181232951754429994e-01
0.000000000000000000e+00 -3.052269964763347048e+02 2.100225411482178894e-01 2.538805434354745455e-02 6.382493817241857714e-01 2.629799382691854273e-02 1.437496165302115658e+00 1.875166618100371496e-01 7.261951415386024289e-01 2.290485066072227127e+00
0.000000000000000000e+00 -3.018655800956557300e+02 3.652136940964209599e-01 8.985995386081254699e-01 2.318042027784952719e+00 7.049093516233221557e+00 2.711065864053530561e+00 9.873217441532444738e-02 2.812295158414190310e-01 1.282351132778851710e+00
0.000000000000000000e+00 -2.738446795567197114e+02 4.431216152979949863e-02 9.995833482605628179e-04 8.721246935799804589e-01 5.148297424377067166e+00 3.396301043248939777e+00 1.424927725380130232e-02 8.083752992422406081e-01 1.430611141803232123e+00
0.000000000000000000e+00 -2.647759877090654186e+02 4.474775360500381494e-01 4.314008861413141660e-01 3.834208453646025916e+00 4.353911660012414586e+00 3.905662687497029939e+00 3.163602132459013005e-01 2.369974365597886656e+00 -1.277395175515723125e+00
0.000000000000000000e+00 -2.600633231994402763e+02 3.785031393426266377e-01 1.467199095588969937e-01 3.953839586394637950e-01 1.677222662100038342e+00 6.516642561214937013e-01 3.683668610157794787e-02 1.232964057699332372e+00 3.228811133278157719e-01
0.000000000000000000e+00 -2.515649492437652555e+02 1.017429997259715835e+00 1.866132643011014780e+00 3.659449161950773188e+00 6.216794974455847722e+00 3.962257293313366624e+00 4.507364339253076557e-01 3.631360707338393001e-01 1.332883547665662416e+00
0.000000000000000000e+00 -2.498718232900802150e+02 1.381141530894826330e-01 6.437025625269029994e-02 7.423078813049061031e-01 1.688225501187663014e+00 1.414268883888786910e+00 3.652689788455031755e-02 3.070094474088684300e-01 -4.161922699509688073e-01
0.000000000000000000e+00 -2.412378802128330335e+02 6.480715716095147849e-01 4.883361271920528103e-04 3.966273204028843757e+00 9.565489723903016994e+00 3.996684305141513072e+00 2.088270818152202640e-02 4.236039203719388357e-01 -1.237004091173620757e-01
0.000000000000000000e+00 -2.389181009215004110e+02 6.377347872743155399e-01 8.692736252826438914e+00 3.910498171080131424e+00 9.017250414261001268e+00 3.913213725347198135e+00 4.753493861744937515e-02 1.603300617476625334e+00 -1.186662570668998828e+00
0.000000000000000000e+00 -2.329465424677313763e+02 1.140770184871034987e+00 1.190926216893361200e+00 2.694598057360356513e+00 7.883406322330224647e+00 3.814959978044779376e+00 5.692559726319823543e-01 1.451996010664744707e+00 -8.276322806925663356e-01
0.000000000000000000e+00 -2.288004915065691307e+02 2.821089854021925358e-01 2.462354326609360322e-02 1.183086289917460565e+00 4.249331798238406677e+00 3.724718174678228966e+00 2.151028209442385208e-01 8.990159074648627069e-01 1.190149890165643320e+00
0.000000000000000000e+00 -2.223409715135722138e+02 7.624033938793519649e-01 9.614746248454308919e-02 8.456659974055915630e-01 8.394995927953946557e-01 1.330343358394242559e+00 1.692462268288158489e-01 1.702040925301056273e-01 9.433208297285483601e-01
0.000000000000000000e+00 -2.182546737139771267e+02 1.995723724099655871e-01 1.508153880288761184e-01 3.374660441599955263e+00 1.974095256166255030e+00 3.494295466595597421e+00 6.365012434211151371e-01 1.239868819171664249e+00 -5.841139094123827258e-01
