weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -3.726584721954936867e+02 3.526629204411223517e-01 6.561480864131621349e-01 7.552488458418846751e-01 9.604006122681519875e-01 3.117640619036826655e-01 9.461094652532491267e-01
0.000000000000000000e+00 -3.648692195336565760e+02 3.522539003035104477e-01 6.417523259386272994e-01 5.118958824631467674e-01 9.560619277210751221e-01 6.134990631939137851e-01 5.699183996391298246e-01
0.000000000000000000e+00 -3.646878758601949357e+02 1.689250965823351214e-01 6.421957461018453772e-01 4.596697034403536275e-01 5.042187786928566950e-01 1.109111766585227921e-01 7.621639914559347195e-01
0.000000000000000000e+00 -3.426631750531425951e+02 3.108893535096167726e-01 7.115149356589207663e-01 9.028916563066469170e-01 3.209978998358676838e-01 8.514905763147595508e-02 1.405893719124167163e-01
0.000000000000000000e+00 -3.331871677511216490e+02 8.385799929669923714e-04 6.213517144187903352e-01 5.116960686100708866e-01 7.522419268730612396e-01 2.940388397101785234e-01 7.074617047610833875e-01
0.000000000000000000e+00 -3.320539954460790568e+02 4.017723807556015103e-01 9.845829921658120210e-01 1.305944626702663092e-01 3.128495958624211148e-01 6.055302038197916126e-01 7.354047499383824515e-01
0.000000000000000000e+00 -3.251617082235943030e+02 3.301396808491185997e-02 1.700637004931270235e-01 1.203773378303970576e-01 4.746795681641846620e-01 6.509553240803517271e-01 5.091635606375652934e-01
0.000000000000000000e+00 -3.236742255937351160e+02 2.220185966881456086e-01 6.668374929348895863e-01 8.839947844244893105e-01 9.529349533628370672e-01 5.293043380508504203e-01 6.231839419995028884e-01
0.000000000000000000e+00 -3.222573321727909388e+02 2.256337515177061492e-01 2.570688854556538727e-01 1.002136269642012190e-01 5.660765408843213553e-01 4.931491760815251979e-01 5.805519101343160626e-01
0.000000000000000000e+00 -3.142633987309314421e+02 2.533264447476656356e-01 4.955187302522557902e-01 1.538732107183172770e-01 4.962051136064531409e-01 5.074000698884436611e-01 1.805427056146782228e-01
0.000000000000000000e+00 -3.119132204555068597e+02 6.319947998919732690e-01 4.872088059479644517e-01 4.508696760136243764e-02 7.983626285016544033e-01 1.296825413850869468e-01 3.048624407500869493e-01
0.000000000000000000e+00 -2.983124394938361092e+02 6.043861656111029212e-01 8.719054406603147234e-01 7.556681685580262098e-01 8.857556033828969388e-01 8.180232305290813244e-01 6.552507325849943332e-01
0.000000000000000000e+00 -2.956652508946372109e+02 6.374424138266129303e-01 7.635435357758907360e-01 7.948135031391448946e-01 9.348734006150657416e-01 1.906034472982858219e-01 3.643260671512825732e-01
0.000000000000000000e+00 -2.916339663370143853e+02 4.795314908927483799e-01 7.405002015041317609e-01 3.907051288536835809e-01 8.398072584913403027e-01 8.951733892834083939e-01 9.284737297268554901e-01
0.000000000000000000e+00 -2.913403655603713105e+02 9.964905518559143971e-01 4.459493532716178876e-01 1.580662179590963667e-03 9.528255066659402361e-01 2.259320272279607966e-02 6.117832469006662111e-01
0.000000000000000000e+00 -2.895875036663518358e+02 6.579775046513769432e-01 7.329127036152979224e-01 1.397532681919350095e-01 8.577845927811516002e-01 9.981495896688734604e-01 8.900414484443641694e-01
0.000000000000000000e+00 -2.854834441687046933e+02 5.320405792989052474e-01 6.077270954892977084e-02 2.292011994950415854e-02 6.400392512710367798e-01 5.536311058786428374e-01 6.088221336298245134e-01
0.000000000000000000e+00 -2.769534082216756019e+02 5.815718164272316582e-01 3.571599405298252483e-01 1.313515048185898149e-01 8.727817425464741152e-01 1.404308223394371558e-01 7.508970233946522521e-01
0.000000000000000000e+00 -2.750117179193536003e+02 1.083749453079876357e-01 8.635736675383456351e-01 7.199408400327992341e-01 2.155752595021283025e-01 1.671208187750197194e-01 3.616556236286924131e-01
0.000000000000000000e+00 -2.740779177098955870e+02 4.369093345599176503e-01 7.174067503952598068e-01 1.162737952039498701e-01 6.744675511590336736e-01 9.783710673672302294e-01 5.686382062700043871e-01
0.000000000000000000e+00 -2.710628485107624783e+02 9.051817542851714471e-02 4.599164536849047469e-01 3.382566661681192244e-01 2.668847652067491971e-01 6.039671190011515201e-01 7.584924779160790997e-01
0.000000000000000000e+00 -2.490659148252227055e+02 7.022175626745796873e-02 9.314768719608914616e-01 7.184192237040983864e-01 5.730796486808172885e-01 3.278607141437688277e-01 4.084785838250140078e-01
0.000000000000000000e+00 -2.365974710050883800e+02 4.987266483100594172e-01 9.317079326802650829e-01 1.583162229206779292e-01 5.680225228362646428e-01 7.462167105028895131e-01 1.412530763765100783e-01
0.000000000000000000e+00 -2.320794013369227287e+02 5.062852152329935240e-01 7.289440102851509895e-01 9.534282240235829597e-01 9.064416821803713553e-01 8.529959923191469118e-01 2.034940374899631976e-01
0.000000000000000000e+00 -2.255679668499664103e+02 3.281639814379917475e-01 7.752430189875056943e-01 2.359820979902842453e-01 2.794352568472197040e-01 8.408070845284861816e-01 2.356087599178968706e-01
0.000000000000000000e+00 -2.191362283173039884e+02 1.889062918532148361e-01 4.079311430827747831e-01 2.896027134749343812e-01 8.155330386822398081e-01 9.407103896342143834e-01 8.143841771249460404e-02
0.000000000000000000e+00 -2.168771211521790292e+02 5.001719993598500169e-01 7.697752489987769176e-01 2.439388173197428733e-01 7.483992596917339313e-01 3.542069269572883927e-01 7.671688095305384536e-01
0.000000000000000000e+00 -2.076650406516704379e+02 1.853064297004068939e-01 8.782375597894613861e-01 3.873134607753266900e-01 5.060336797851049395e-01 7.743622246226485872e-01 3.564946717313076663e-01
0.000000000000000000e+00 -2.035680455168737808e+02 3.354801286170056018e-01 6.690064102222633702e-01 8.745083136199414131e-01 6.343124912240319935e-01 4.576868281201429411e-02 9.188937139074925264e-01
0.000000000000000000e+00 -2.020776961780917418e+02 3.824998485178190410e-01 5.244750007702411176e-01 2.779590948086492208e-01 4.044123006466711079e-01 1.237406717111274590e-01 9.414055363947476662e-01
0.000000000000000000e+00 -2.016281172137269095e+02 6.574424771650762001e-01 8.834680913752529507e-01 4.003093573065512611e-01 2.058522692834118262e-01 7.198800743024185156e-01 1.182075641344382255e-02
