weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -3.726584721954936867e+02 4.408286505514029674e-01 2.699909370187663082e-01 3.128888704375959229e+00 5.959761859699770348e-01 5.647601590941815353e-01 2.108102706898968393e+00
0.000000000000000000e+00 -3.648692195336565760e+02 4.403173753793880874e-01 2.321003495375686121e-01 2.262504253798286236e+00 5.563548790392893739e-01 1.036704022793742297e+00 5.097204885136843444e-01
0.000000000000000000e+00 -3.646878758601949357e+02 2.111563707279189017e-01 2.331839609921028678e-01 1.952772998177289665e+00 5.053725256107961111e-02 2.831144363891924254e-01 1.109207708502593537e+00
0.000000000000000000e+00 -3.426631750531425951e+02 3.886116918870209380e-01 4.829837200216441362e-01 3.649304062965607720e+00 2.579738256584056602e-02 2.415939335036809132e-01 -8.897244708173012162e-01
0.000000000000000000e+00 -3.331871677511216490e+02 1.048224991208740464e-03 1.873304173209833778e-01 2.047296126824472040e+00 1.305333910944261044e-01 5.405419697408477830e-01 9.224839943575281476e-01
0.000000000000000000e+00 -3.320539954460790568e+02 5.022154759445018879e-01 8.504870059921575631e+00 9.590067663999028991e-01 2.497604676326114354e-02 1.021542133142298914e+00 1.015410068834616375e+00
0.000000000000000000e+00 -3.251617082235943030e+02 4.126746010613982496e-02 1.636192892855758366e-03 5.178091444411287991e-01 4.551019367051662573e-02 1.111404277632491278e+00 3.387358627201343952e-01
0.000000000000000000e+00 -3.236742255937351160e+02 2.775232458601820107e-01 3.020745995615844448e-01 3.568173281661183083e+00 5.312073443675998652e-01 8.868701069761208977e-01 6.633968748341441124e-01
0.000000000000000000e+00 -3.222573321727909388e+02 2.820421893971326588e-01 4.080860478256127799e-03 6.546322264975266148e-01 6.299604140176018330e-02 8.282885028740686328e-01 5.400112258260361120e-01
0.000000000000000000e+00 -3.142633987309314421e+02 3.166580559345820722e-01 4.995268284845993945e-02 8.834257070413764623e-01 4.912178162734399944e-02 8.510398269369519042e-01 -7.062597679580085996e-01
