weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -2.878255426470585689e+02 3.958581471212473391e-01 2.499043779262741793e-01 6.538520735766839564e-02 8.156222120587959257e-01 6.065792476486722151e-01 3.358425479599147501e-02 2.382488229709439631e-01
2.964393875047479265e-323 -2.800652976441208466e+02 1.752797441112848853e-01 8.486451383924453751e-02 9.757733124699929927e-02 9.718632437471715901e-01 8.793677038082587938e-01 6.717099037871687717e-02 4.029890321504664419e-01
3.903118602145847699e-322 -2.775561514110593180e+02 4.567972045295831673e-02 6.369293199510507320e-01 4.075641742764050113e-01 2.385093809274637655e-01 1.276060432713700399e-01 5.765789529824610904e-01 6.175980869747601520e-01
7.712364731581858555e-321 -2.745658420312227008e+02 2.482920316756858092e-01 9.123719140763082436e-01 8.903537911829588758e-01 8.292757879069809768e-01 7.750503256275353969e-01 8.170181462039466380e-01 2.045123049101053025e-01
1.003941392349412978e-320 -2.742994656371166684e+02 2.842301856349461753e-01 5.200166620564139475e-01 3.457362716090541799e-01 4.385127143272797845e-01 1.601890313996481296e-01 9.202987252148294717e-01 6.929105516585865043e-02
3.662553098529286344e-318 -2.683975826133201963e+02 5.373313376493253912e-01 9.208197865023763917e-01 1.071341645456242997e-01 5.875079636522075877e-01 3.744110483740298312e-01 9.486932245839113653e-01 4.528583090877389417e-01
1.213111461398594050e-314 -2.602897139509929048e+02 2.747791702125890190e-02 6.968744929217383088e-01 5.188918956975022700e-01 9.880082566808238154e-01 3.105356573767575901e-01 3.414495642726246283e-01 9.682371007602967872e-01
5.164932484045824354e-312 -2.542333402489189496e+02 3.411707352753670097e-01 9.939671268642408242e-01 3.904215265617297925e-01 9.844171035083848498e-01 1.558538901917997377e-01 1.406326725408719724e-01 8.763889247663141369e-01
2.462176632977109086e-309 -2.480639312317182430e+02 9.197540026285506709e-01 6.862608574976040154e-01 3.341322448339109075e-01 1.015695624761137061e-02 4.227380154338867824e-01 1.373733764020650394e-01 7.314183934798794695e-01
4.242181457949139494e-309 -2.475173993688659380e+02 1.580520665565733340e-01 1.375848706058483417e-01 2.913124475504991207e-01 1.027602900109265693e-01 4.444858601995135272e-01 9.510743539242750844e-01 1.639335969762678591e-02
2.217083999872968534e-308 -2.458611990887096681e+02 3.788017131269240112e-01 8.665618010759943424e-01 1.789237010133181149e-01 7.985957609778764343e-01 3.901819904999200839e-01 8.284580219849823068e-01 8.542094722692236131e-01
2.184172074406890384e-305 -2.389658997851991558e+02 3.431979680368437702e-01 3.804916893618152107e-01 4.140607990720072129e-01 3.553550005450315519e-01 6.966473899718861329e-02 9.964636739714570757e-01 7.130261505497692553e-02
1.967166884962053435e-302 -2.321602869714554345e+02 7.643979046277138423e-02 6.139516934328135278e-01 4.701268208739717291e-01 3.653916942281165703e-01 2.565621645597637723e-01 6.461095068059815594e-01 7.774280464739026231e-01
1.188525736053128841e-296 -2.188461571298651620e+02 4.605826764833127474e-01 3.947514855509640652e-01 6.503516105391082824e-02 6.133581102548113506e-02 7.979613405026951822e-01 4.020141624703414962e-01 7.642551804799634363e-01
1.632354674443237403e-296 -2.185263472337227313e+02 5.019289556163927246e-01 8.684551035763448112e-01 7.558631011800082122e-01 2.491136458863925096e-01 7.641600420072349742e-01 1.167458111647137198e-01 2.348973814554249362e-01
2.945504631744081913e-294 -2.133284204512316364e+02 8.405690201305957565e-01 5.383934447541627311e-02 5.550061428300335775e-01 6.101276946148924685e-01 4.634398792974759873e-01 5.307640848227564989e-01 8.844807701276941048e-01
8.783283846551151492e-294 -2.122333502535567789e+02 1.988220101609232682e-01 7.821820544878096415e-01 2.714022572844909664e-02 7.187787100874978297e-01 8.674682925198923256e-01 6.868649714788385152e-01 9.706213737962110510e-02
1.807606569661978861e-293 -2.115091118796823366e+02 1.796200694519434204e-01 3.315462546321238380e-01 7.370108858289683429e-01 7.673178922675699676e-01 3.834108158970894742e-03 6.941328098028385352e-01 9.916605737954805599e-01
5.632146365242018327e-293 -2.103701249060326006e+02 2.147912106089647777e-01 2.466883848592478223e-01 2.248048649163412183e-01 9.872469505380152555e-01 4.080466442409804717e-01 7.400804037361166099e-01 7.473447496266869550e-01
